lga_code,lda_name,year,population
36150,Quilpie,2016,790
36250,Redland,2016,156825
36300,Richmond,2016,806
36370,Rockhampton,2016,81051
36510,Scenic Rim,2016,42576
36580,Somerset,2016,25881
36630,South Burnett,2016,32549
36660,Southern Downs,2016,35593
36720,Sunshine Coast,2016,319837
36820,Tablelands,2016,25535
36910,Toowoomba,2016,167611
36950,Torres,2016,3847
36960,Torres Strait Island,2016,4993
37010,Townsville,2016,194019
37300,Weipa,2016,4239
37310,Western Downs,2016,34459
37340,Whitsunday,2016,35037
37400,Winton,2016,1157
37550,Woorabinda,2016,1005
37570,Wujal Wujal,2016,306
37600,Yarrabah,2016,2847
40070,Adelaide,2016,24807
40120,Adelaide Hills,2016,39735
40150,Adelaide Plains,2016,9059
40220,Alexandrina,2016,27039
40250,Anangu Pitjantjatjara,2016,2558
40310,Barossa,2016,24810
40430,Barunga West,2016,2551
40520,Berri and Barmera,2016,10854
40700,Burnside,2016,45714
40910,Campbelltown,2016,51473
41010,Ceduna,2016,3466
41060,Charles Sturt,2016,117388
41140,Clare and Gilbert Valleys,2016,9379
41190,Cleve,2016,1799
41330,Coober Pedy,2016,1845
41560,Copper Coast,2016,14873
41750,Elliston,2016,1019
41830,Flinders Ranges,2016,1693
41960,Franklin Harbour,2016,1315
42030,Gawler,2016,24019
42110,Goyder,2016,4206
42250,Grant,2016,8511
42600,Holdfast Bay,2016,37035
42750,Kangaroo Island,2016,4933
43080,Karoonda East Murray,2016,1112
43220,Kimba,2016,1073
43360,Kingston,2016,2374
43650,Light,2016,15340
43710,Lower Eyre Peninsula,2016,5761
43790,Loxton Waikerie,2016,11728
44000,Maralinga Tjarutja,2016,64
44060,Marion,2016,92312
44210,Mid Murray,2016,8984
44340,Mitcham,2016,67259
44550,Mount Barker,2016,35545
44620,Mount Gambier,2016,27177
44830,Mount Remarkable,2016,2910
45040,Murray Bridge,2016,22166
45090,Naracoorte and Lucindale,2016,8533
45120,Northern Areas,2016,4604
45290,Norwood Payneham St Peters,2016,36757
45340,Onkaparinga,2016,171496
45400,Orroroo-Carrieton,2016,854
45540,Peterborough,2016,1700
45680,Playford,2016,93426
45890,Port Adelaide Enfield,2016,126125
46090,Port Augusta,2016,14102
46300,Port Lincoln,2016,14627
46450,Port Pirie City and Dists,2016,17631
46510,Prospect,2016,21260
46670,Renmark Paringa,2016,9870
46860,Robe,2016,1444
46970,Roxby Downs,2016,4014
47140,Salisbury,2016,142558
47290,Southern Mallee,2016,2094
47490,Streaky Bay,2016,2214
47630,Tatiara,2016,6795
47700,Tea Tree Gully,2016,99697
47800,The Coorong,2016,5463
47910,Tumby Bay,2016,2688
47980,Unley,2016,39150
48050,Victor Harbor,2016,15249
48130,Wakefield,2016,6815
48260,Walkerville,2016,7946
48340,Wattle Range,2016,12032
48410,West Torrens,2016,60109
48540,Whyalla,2016,21767
48640,Wudinna,2016,1294
48750,Yankalilla,2016,5478
48830,Yorke Peninsula,2016,11329
49399,Unincorporated SA,2016,3520
50080,Albany,2016,37820
50210,Armadale,2016,87607
50250,Ashburton,2016,13327
50280,Augusta-Margaret River,2016,15694
50350,Bassendean,2016,15735
50420,Bayswater,2016,68197
50490,Belmont,2016,41484
50560,Beverley,2016,1748
50630,Boddington,2016,1833
50770,Boyup Brook,2016,1756
50840,Bridgetown-Greenbushes,2016,4722
50910,Brookton,2016,965
50980,Broome,2016,16947
51080,Broomehill-Tambellup,2016,1132
51120,Bruce Rock,2016,939
51190,Bunbury,2016,31767
51260,Busselton,2016,38921
51310,Cambridge,2016,28464
51330,Canning,2016,92888
51400,Capel,2016,18020
51470,Carnamah,2016,541
51540,Carnarvon,2016,5361
51610,Chapman Valley,2016,1492
51680,Chittering,2016,5742
51750,Claremont,2016,10698
51820,Cockburn,2016,112124
51890,Collie,2016,8754
51960,Coolgardie,2016,3505
52030,Coorow,2016,1004
52100,Corrigin,2016,1146
52170,Cottesloe,2016,8184
52240,Cranbrook,2016,1077
52310,Cuballing,2016,862
52380,Cue,2016,148
52450,Cunderdin,2016,1439
52520,Dalwallinu,2016,1431
52590,Dandaragan,2016,3258
52660,Dardanup,2016,14366
52730,Denmark,2016,6154
52800,Derby-West Kimberley,2016,8253
52870,Donnybrook-Balingup,2016,6061
52940,Dowerin,2016,676
53010,Dumbleyung,2016,676
53080,Dundas,2016,735
53150,East Fremantle,2016,7809
53220,East Pilbara,2016,10968
53290,Esperance,2016,14279
53360,Exmouth,2016,2835
53430,Fremantle,2016,30854
53570,Gingin,2016,5255
53640,Gnowangerup,2016,1207
53710,Goomalling,2016,1011
53780,Gosnells,2016,123263
53800,Greater Geraldton,2016,38730
53920,Halls Creek,2016,3490
53990,Harvey,2016,27793
54060,Irwin,2016,3560
54130,Jerramungup,2016,1133
54170,Joondalup,2016,159977
54200,Kalamunda,2016,58932
54280,Kalgoorlie-Boulder,2016,29989
54310,Karratha,2016,22407
54340,Katanning,2016,4084
54410,Kellerberrin,2016,1207
54480,Kent,2016,562
54550,Kojonup,2016,1980
